Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Column1,MainProfile,CUST,,,0,,0,0,0,0
Column2,MainProfile,CUST,Federal employee retirement and disability (602),Special Benefits,0.38,b,,,,0.38
Column3,MainProfile,CUST,Federal employee retirement and disability (602),Foreign Service Retirement and Disability Fund,0.893,b,,,,0.893
Column4,MainProfile,CUST,Federal employee retirement and disability (602),Program Expenses,0.146,b,,,,0.146
Column5,MainProfile,CUST,Social security (651),Payments to Social Security Trust Funds,61.661,b,,,,61.661
Column6,MainProfile,CUST,Social security (651),"Administrative Expenses, Recovery Act",0.175,b,,,,0.175
Column7,MainProfile,CUST,"Employer share, employee retirement (onbudget) (951)","Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",3.933,b,,,,3.933
Column8,MainProfile,CUST,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",0.322,b,,,,0.322
Column9,MainProfile,CUST,Employee Retirement  Benefit Payments (X11),,0,g,0,186.3,42.6,228.9
Column10,MainProfile,CUST,Employee Retirement  Withdrawals (X12),,0,g,0,4.5,0.9,5.4
Column11,MainProfile,CUST,Employee Retirement  Other Payments (Disc. 2005) (X14),,0,,0,0,0,0
Column1,SubProfile,CUST,Medicare (571),"Federal Contributions, FSMI Fund",194.019,b,,,,194.019
Column2,SubProfile,CUST,Medicare (571),"Premiums Collected for Medicare Prescription Drug Account, FSMI",4.082,b,,,,4.082
Column3,SubProfile,CUST,Medicare (571),Health Care Fraud and Abuse Control Account,0.61,b,,,,0.61
Column4,SubProfile,CUST,Medicare (571),Health Care Fraud and Abuse Control Account,0.767,b,,,,0.767
Column5,SubProfile,CUST,Federal Intergovernmental  Health and Hospitals (B42),,0,g,28.2,0,0,28.2
Column6,SubProfile,CUST,Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6
Column7,SubProfile,CUST,Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1
Column8,SubProfile,CUST,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0
Column9,SubProfile,CUST,Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4
Column10,SubProfile,CUST,Construction  Hospitals (F36),,0,g,0,2.2,4,6.2
Column11,SubProfile,CUST,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0
Column12,SubProfile,CUST,Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6
Column13,SubProfile,CUST,Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2
Column14,SubProfile,CUST,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0
Column15,SubProfile,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,,,,0.115
Column1,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,,,,0.455
Column2,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,,,,0.373
Column3,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,,,,0.132
Column4,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,,,,0.051
Column5,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,,,,0.947
Column6,EBBS,CUST,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496
Column7,EBBS,CUST,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0
Column8,EBBS,CUST,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0
Column9,EBBS,CUST,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0
Column10,EBBS,CUST,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0
Column11,EBBS,CUST,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
Column12,EBBS,CUST,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",0.15,b,,,,0.15
Column13,EBBS,CUST,Health care services (551),Miscellaneous Trust Funds,0.069,b,,,,0.069
Column14,EBBS,CUST,Health care services (551),Office of the Inspector General,0.057,b,,,,0.057
Column1,CaseDetail,CaseDetailSCV,Federal Intergovernmental  Public Welfare (B79),,0,g,337.8,0,0,337.8
Column2,CaseDetail,CaseDetailSCV,"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,g,0,7.1,0,7.1
Column3,CaseDetail,CaseDetailSCV,"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",,0,g,0,391.3,5.7,397
Column4,CaseDetail,CaseDetailSCV,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.103,b,,,,0.103
Column5,CaseDetail,CaseDetailSCV,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.673,b,,,,0.673
Column6,CaseDetail,CaseDetailSCV,"Elementary, secondary, and vocational education (501)",Payment to Issuer of Qualified School Construction Bonds,0.82,b,,,,0.82
Column7,CaseDetail,CaseDetailSCV,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,4.426,b,,,,4.426
Column8,CaseDetail,CaseDetailSCV,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0.12,b,,,,0.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
